Size
129828
19856
11865
35290
11056
25644
16255
19469
14020
4509
12529
8149
10311
13562
14210
7721
11317
5396
9460
5704
10501
7157
5381
9400
7465
2300
9080
6500
10036
5655
4821
5037
11305
4226
1628
5394
3717
3759
1744
8449
580
2300
2980
2154
2325
4461
3284
2675
2041
4192
1000
1000
3100
1200
1000
3350
1000
992
1078
1000
750
938
1000
1500
1400
1000
874
2500
1000
2118
1791
2200
700
