Office,Organization,Count,Office_id,Org_id
"Farmington, NM",TFA,4,279,100
"Weldon, NC",TFA,4,282,100
"Greenville, MS",TFA,3,283,100
"Tallulah, LA",TFA,3,284,100
"Fall River, MA",TFA,2,286,100
"Fort Worth, TX",TFA,2,287,100
"Hammond, IN",TFA,2,288,100
"Marion, AL",TFA,2,289,100
"Hazard, KY",TFA,1,291,100
